"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,3,14,6,"standard"
0,0,0,21,23,20,"standard"
0,0,0,64,65,28,"standard"
0,0,0,139,165,89,"standard"
0,0,0,7,56,5,"standard"
0,0,0,18,20,5,"standard"
0,0,0,26,46,45,"standard"
0,0,0,46,46,5,"standard"
0,0,0,8,35,30,"standard"
0,0,0,61,59,18,"standard"
0,0,0,481,512,499,"standard"
253,0,143,1000,299,1000,"standard"
0,0,0,2,15,8,"standard"
0,0,0,117,7,136,"standard"
0,0,0,6,11,2,"standard"
0,0,0,11,7,5,"standard"
0,0,0,4,3,3,"standard"
0,0,0,16,3,21,"standard"
0,0,0,56,71,46,"standard"
0,0,0,17,2,3,"standard"
0,0,0,18,26,15,"standard"
0,0,0,30,33,39,"standard"
0,76,0,976,1000,53,"standard"
0,0,0,11,41,41,"standard"
0,0,0,15,95,104,"standard"
0,0,0,21,23,19,"standard"
0,0,0,2,24,21,"standard"
0,0,0,8,4,8,"standard"
0,0,0,21,563,564,"standard"
0,0,0,2,47,3,"standard"
0,0,0,31,55,8,"standard"
0,0,0,10,8,6,"standard"
0,0,0,253,38,246,"standard"
0,0,0,549,6,3,"standard"
0,0,0,788,207,776,"standard"
0,93,292,24,1000,1000,"standard"
0,0,0,162,274,60,"standard"
0,0,0,46,47,44,"standard"
0,0,0,22,6,8,"standard"
0,0,0,530,841,867,"standard"
0,0,0,157,147,161,"standard"
0,0,0,277,237,17,"standard"
0,0,0,2,107,9,"standard"
0,0,0,13,18,21,"standard"
0,0,0,11,11,9,"standard"
0,0,0,20,20,21,"standard"
0,0,0,8,4,3,"standard"
0,0,0,51,50,51,"standard"
0,0,0,2,9,2,"standard"
0,0,0,46,18,15,"standard"
0,0,0,38,36,37,"standard"
0,0,0,40,380,380,"standard"
0,0,0,18,3,25,"standard"
0,0,0,4,179,140,"standard"
0,0,0,3,3,4,"standard"
0,0,0,126,3,40,"standard"
0,0,0,85,25,84,"standard"
0,0,0,2,4,86,"standard"
0,0,0,47,2,38,"standard"
0,0,0,220,157,232,"standard"
0,0,0,3,106,101,"standard"
0,0,0,379,373,35,"standard"
0,0,0,3,5,4,"standard"
0,0,0,4,8,8,"standard"
0,0,0,44,30,67,"standard"
0,0,0,5,841,838,"standard"
0,0,0,2,4,8,"standard"
0,0,0,438,511,521,"standard"
0,0,0,105,22,80,"standard"
0,0,0,27,26,24,"standard"
0,0,0,12,33,34,"standard"
0,0,0,12,8,7,"standard"
0,0,0,4,5,5,"standard"
0,0,0,12,26,29,"standard"
0,0,0,928,913,226,"standard"
0,0,0,16,11,26,"standard"
0,0,0,278,272,24,"standard"
0,0,0,167,310,312,"standard"
0,0,0,21,15,30,"standard"
0,0,0,106,11,11,"standard"
0,0,0,316,43,45,"standard"
0,0,0,61,60,61,"standard"
0,0,0,14,11,2,"standard"
0,0,0,129,3,134,"standard"
0,0,0,19,10,21,"standard"
0,0,0,542,5,542,"standard"
0,0,0,83,83,119,"standard"
0,0,0,102,110,12,"standard"
0,0,0,351,399,248,"standard"
0,0,0,13,12,4,"standard"
0,0,0,372,2,26,"standard"
0,0,0,2,2,775,"standard"
0,0,0,70,15,26,"standard"
0,0,0,9,112,95,"standard"
0,0,0,8,5,4,"standard"
0,0,0,2,16,28,"standard"
0,0,0,7,34,39,"standard"
0,0,0,13,14,6,"standard"
0,0,0,540,543,94,"standard"
0,0,0,78,63,75,"standard"
0,0,0,2,3,6,"standard"
0,0,0,228,56,210,"standard"
0,0,0,98,322,315,"standard"
0,0,0,20,9,230,"standard"
0,0,0,10,13,10,"standard"
0,0,0,17,8,354,"standard"
0,0,0,93,172,483,"standard"
0,0,0,16,36,12,"standard"
0,0,0,8,8,8,"standard"
0,0,0,379,324,362,"standard"
0,0,0,11,32,21,"standard"
264,139,82,1000,1000,1000,"standard"
0,0,0,75,9,8,"standard"
0,0,0,96,92,13,"standard"
0,0,0,23,6,29,"standard"
0,429,487,4,1000,1000,"standard"
0,0,0,10,8,11,"standard"
0,0,0,20,16,15,"standard"
0,0,0,27,22,11,"standard"
0,0,0,981,483,988,"standard"
0,537,433,528,1000,1000,"standard"
0,0,0,59,109,162,"standard"
0,0,0,16,2,8,"standard"
0,0,0,59,45,53,"standard"
0,0,0,7,8,169,"standard"
0,0,0,121,119,67,"standard"
0,0,0,247,118,247,"standard"
0,0,329,23,11,1000,"standard"
0,0,0,17,16,11,"standard"
0,0,0,99,49,110,"standard"
0,0,0,45,62,14,"standard"
0,0,0,229,229,20,"standard"
0,0,0,67,59,65,"standard"
0,0,0,7,14,39,"standard"
0,0,0,63,95,97,"standard"
0,0,0,304,353,347,"standard"
0,0,0,3,3,11,"standard"
0,0,0,44,22,28,"standard"
0,0,0,3,3,13,"standard"
0,0,0,211,196,207,"standard"
0,342,468,603,1000,1000,"standard"
0,0,0,6,6,6,"standard"
0,0,0,22,3,7,"standard"
0,0,0,236,336,239,"standard"
0,0,0,13,2,5,"standard"
0,0,0,13,108,79,"standard"
0,0,0,38,10,10,"standard"
0,0,0,487,51,61,"standard"
0,0,0,114,109,29,"standard"
0,0,0,5,10,5,"standard"
0,0,0,3,50,3,"standard"
0,0,0,19,21,20,"standard"
0,0,0,5,6,5,"standard"
0,0,0,13,15,12,"standard"
0,0,0,8,4,2,"standard"
0,0,0,47,52,21,"standard"
0,0,0,5,4,4,"standard"
0,0,0,37,14,16,"standard"
0,0,0,11,11,12,"standard"
0,0,0,32,25,34,"standard"
512,0,0,1000,171,618,"standard"
0,0,0,53,2,9,"standard"
0,0,0,5,41,2,"standard"
0,0,0,398,163,269,"standard"
81,0,70,1000,307,1000,"standard"
0,0,0,2,110,122,"standard"
0,0,0,2,22,9,"standard"
137,259,0,1000,1000,32,"standard"
139,0,235,1000,49,1000,"standard"
0,0,0,84,99,104,"standard"
0,0,0,53,55,54,"standard"
0,0,0,5,6,17,"standard"
0,0,0,3,10,42,"standard"
579,109,0,1000,1000,146,"standard"
0,0,0,448,482,483,"standard"
584,0,194,1000,253,1000,"standard"
0,0,0,54,725,666,"standard"
0,0,0,30,4,25,"standard"
0,0,0,618,598,620,"standard"
0,0,0,19,2,2,"standard"
0,0,0,243,27,228,"standard"
0,0,0,106,11,96,"standard"
0,0,0,3,9,11,"standard"
0,0,0,33,33,7,"standard"
0,0,0,4,4,6,"standard"
0,0,0,7,8,7,"standard"
0,0,0,18,205,199,"standard"
114,0,291,1000,123,1000,"standard"
0,0,0,146,149,3,"standard"
0,0,0,36,988,984,"standard"
0,0,0,26,24,28,"standard"
0,0,0,6,55,57,"standard"
0,0,0,929,939,939,"standard"
0,0,0,11,7,11,"standard"
0,0,0,6,46,95,"standard"
0,0,0,3,3,69,"standard"
0,0,0,43,37,6,"standard"
0,0,0,598,594,50,"standard"
0,0,0,12,9,14,"standard"
0,0,0,5,647,2,"standard"
204,141,0,1000,1000,54,"standard"
0,0,0,619,618,664,"standard"
0,0,0,692,2,2,"standard"
0,0,0,34,3,23,"standard"
0,0,0,9,4,8,"standard"
0,0,0,34,53,52,"standard"
392,0,145,1000,7,1000,"standard"
0,0,0,11,9,11,"standard"
0,0,0,23,345,29,"standard"
0,0,0,10,139,199,"standard"
0,0,0,48,48,324,"standard"
0,0,0,12,10,10,"standard"
0,0,0,3,36,33,"standard"
0,0,0,28,19,133,"standard"
0,0,0,306,13,517,"standard"
0,0,0,3,327,3,"standard"
0,0,0,4,2,3,"standard"
0,0,0,15,22,22,"standard"
0,0,0,41,14,18,"standard"
0,0,0,27,27,18,"standard"
0,0,0,87,88,94,"standard"
0,0,0,4,78,3,"standard"
0,0,0,424,432,291,"standard"
0,0,0,179,3,229,"standard"
0,0,0,28,26,49,"standard"
0,0,0,12,90,12,"standard"
0,0,0,159,17,152,"standard"
0,0,0,791,2,799,"standard"
0,0,0,14,5,16,"standard"
0,0,0,740,14,729,"standard"
0,0,0,100,13,116,"standard"
0,0,0,681,684,322,"standard"
0,0,0,45,45,45,"standard"
0,392,0,5,1000,8,"standard"
0,0,0,28,42,13,"standard"
0,0,0,4,17,61,"standard"
0,0,0,21,21,17,"standard"
0,387,171,291,1000,1000,"standard"
0,0,0,11,100,9,"standard"
0,0,0,21,20,19,"standard"
119,0,530,1000,306,1000,"standard"
0,0,0,3,3,3,"standard"
0,0,0,30,11,31,"standard"
0,0,0,8,32,29,"standard"
0,0,0,12,60,66,"standard"
446,0,538,1000,40,1000,"standard"
0,0,0,12,8,10,"standard"
0,0,0,7,14,4,"standard"
0,0,0,16,2,2,"standard"
0,0,0,8,22,5,"standard"
0,0,0,651,381,532,"standard"
0,0,0,3,3,4,"standard"
0,0,0,2,2,5,"standard"
0,0,0,2,65,61,"standard"
0,0,0,4,10,5,"standard"
