"st1","st2","t_fin1","t_fin2","condition"
0,0,16,5,"standard"
189,133,1000,1000,"standard"
0,0,884,881,"standard"
0,0,536,250,"standard"
0,0,2,6,"standard"
0,0,12,21,"standard"
0,0,17,17,"standard"
0,0,145,151,"standard"
0,0,5,12,"standard"
85,547,1000,1000,"standard"
0,0,410,415,"standard"
0,0,243,238,"standard"
0,0,65,73,"standard"
0,0,123,8,"standard"
0,0,23,23,"standard"
0,0,4,4,"standard"
0,0,580,374,"standard"
0,0,15,6,"standard"
0,0,2,38,"standard"
0,0,19,28,"standard"
0,0,180,2,"standard"
0,0,29,29,"standard"
0,0,8,18,"standard"
0,0,2,35,"standard"
0,0,4,8,"standard"
0,0,5,11,"standard"
0,0,6,6,"standard"
0,0,3,2,"standard"
0,0,17,3,"standard"
0,0,76,13,"standard"
0,510,380,1000,"standard"
0,0,270,302,"standard"
0,0,69,13,"standard"
0,0,881,876,"standard"
0,0,61,58,"standard"
0,0,241,271,"standard"
0,0,29,29,"standard"
0,0,92,2,"standard"
0,0,14,14,"standard"
0,0,150,151,"standard"
0,0,12,12,"standard"
0,0,12,2,"standard"
0,0,2,10,"standard"
0,0,189,7,"standard"
0,0,96,157,"standard"
0,0,5,3,"standard"
0,0,6,2,"standard"
0,0,5,5,"standard"
0,0,35,35,"standard"
0,0,19,22,"standard"
0,0,6,6,"standard"
0,0,131,129,"standard"
0,0,63,65,"standard"
0,0,307,304,"standard"
0,0,542,3,"standard"
0,0,8,6,"standard"
0,0,73,79,"standard"
0,0,86,87,"standard"
0,0,10,11,"standard"
0,0,176,178,"standard"
0,0,250,248,"standard"
0,0,88,12,"standard"
0,0,154,149,"standard"
0,0,2,41,"standard"
0,0,381,365,"standard"
0,0,106,108,"standard"
0,0,8,3,"standard"
0,0,248,310,"standard"
0,0,547,546,"standard"
0,0,332,336,"standard"
0,0,4,7,"standard"
0,0,46,43,"standard"
0,0,759,761,"standard"
0,0,29,33,"standard"
0,0,62,89,"standard"
0,0,677,676,"standard"
0,0,10,9,"standard"
0,0,83,18,"standard"
0,0,9,32,"standard"
0,0,880,863,"standard"
0,0,13,33,"standard"
0,0,14,19,"standard"
0,0,23,17,"standard"
0,0,229,227,"standard"
0,0,111,134,"standard"
0,0,7,5,"standard"
0,0,5,32,"standard"
0,0,4,7,"standard"
0,0,22,18,"standard"
0,0,144,109,"standard"
0,0,3,8,"standard"
0,0,16,17,"standard"
0,0,8,3,"standard"
0,0,63,5,"standard"
0,0,28,18,"standard"
0,0,7,12,"standard"
0,0,9,5,"standard"
0,0,7,44,"standard"
0,0,13,3,"standard"
0,0,47,48,"standard"
0,0,10,6,"standard"
0,0,498,497,"standard"
0,0,584,576,"standard"
0,0,20,18,"standard"
0,0,50,46,"standard"
0,0,19,22,"standard"
0,0,9,9,"standard"
0,0,38,41,"standard"
0,0,16,17,"standard"
0,0,3,8,"standard"
0,0,52,46,"standard"
0,0,690,687,"standard"
370,0,1000,953,"standard"
0,0,6,8,"standard"
0,0,10,7,"standard"
0,0,7,5,"standard"
0,0,44,76,"standard"
0,0,19,20,"standard"
0,0,11,30,"standard"
0,0,5,3,"standard"
0,0,14,3,"standard"
0,0,5,6,"standard"
466,0,1000,187,"standard"
0,0,41,739,"standard"
0,0,369,334,"standard"
0,0,17,11,"standard"
0,0,47,19,"standard"
0,0,20,35,"standard"
0,0,98,167,"standard"
0,0,8,6,"standard"
0,0,162,162,"standard"
0,0,84,37,"standard"
0,0,10,15,"standard"
0,0,189,4,"standard"
0,0,192,196,"standard"
0,0,32,30,"standard"
0,0,7,5,"standard"
0,0,5,3,"standard"
0,0,174,173,"standard"
0,0,86,94,"standard"
0,0,77,79,"standard"
0,0,22,25,"standard"
0,0,739,739,"standard"
0,0,66,74,"standard"
0,0,14,12,"standard"
