"st1","st2","t_fin1","t_fin2","condition"
0,0,76,82,"standard"
0,0,10,11,"standard"
0,0,314,327,"standard"
127,64,1000,1000,"standard"
0,0,70,70,"standard"
0,0,752,743,"standard"
0,0,18,28,"standard"
0,0,83,43,"standard"
0,0,386,373,"standard"
0,0,11,11,"standard"
0,0,5,4,"standard"
0,0,722,722,"standard"
600,378,1000,1000,"standard"
0,0,5,5,"standard"
0,0,55,67,"standard"
0,0,5,7,"standard"
0,0,4,3,"standard"
0,0,24,17,"standard"
0,0,13,13,"standard"
0,0,17,24,"standard"
0,0,15,148,"standard"
0,0,602,135,"standard"
0,0,90,5,"standard"
0,0,2,287,"standard"
0,0,827,828,"standard"
0,0,3,2,"standard"
0,0,27,32,"standard"
0,0,2,5,"standard"
0,0,109,127,"standard"
0,0,27,35,"standard"
0,0,896,747,"standard"
0,0,11,15,"standard"
0,0,2,899,"standard"
74,367,1000,1000,"standard"
0,0,36,38,"standard"
0,0,4,12,"standard"
0,0,17,7,"standard"
0,0,27,27,"standard"
0,0,169,171,"standard"
0,0,69,62,"standard"
0,0,3,8,"standard"
0,0,64,43,"standard"
0,0,11,13,"standard"
0,0,94,19,"standard"
0,0,28,44,"standard"
0,0,26,3,"standard"
0,0,12,10,"standard"
0,0,36,34,"standard"
0,0,3,3,"standard"
0,0,693,737,"standard"
0,0,53,17,"standard"
0,0,25,25,"standard"
0,0,7,12,"standard"
0,0,51,3,"standard"
71,0,1000,977,"standard"
0,0,571,41,"standard"
0,0,2,310,"standard"
0,0,8,99,"standard"
0,0,3,3,"standard"
376,100,1000,1000,"standard"
0,0,2,27,"standard"
0,0,7,8,"standard"
0,0,44,41,"standard"
0,0,94,93,"standard"
0,0,4,3,"standard"
0,0,31,30,"standard"
0,0,370,8,"standard"
0,0,7,3,"standard"
0,0,41,41,"standard"
0,0,705,651,"standard"
73,214,1000,1000,"standard"
0,0,41,52,"standard"
0,0,10,8,"standard"
0,0,6,7,"standard"
0,0,5,5,"standard"
0,0,2,68,"standard"
0,0,116,125,"standard"
0,0,113,112,"standard"
0,0,345,341,"standard"
0,0,13,54,"standard"
0,0,16,10,"standard"
0,0,44,45,"standard"
0,0,6,2,"standard"
0,0,61,53,"standard"
0,0,7,7,"standard"
0,0,92,6,"standard"
0,0,200,188,"standard"
0,0,72,69,"standard"
0,0,9,17,"standard"
0,0,73,74,"standard"
0,0,2,20,"standard"
0,0,45,144,"standard"
0,0,21,21,"standard"
0,0,14,13,"standard"
0,0,187,184,"standard"
0,0,28,28,"standard"
0,0,2,14,"standard"
0,0,9,16,"standard"
0,0,10,5,"standard"
0,0,14,9,"standard"
0,0,2,81,"standard"
0,0,6,2,"standard"
0,0,2,3,"standard"
0,0,13,4,"standard"
0,0,15,25,"standard"
0,0,613,451,"standard"
0,0,82,97,"standard"
0,0,63,62,"standard"
0,0,3,3,"standard"
0,0,37,180,"standard"
0,0,3,120,"standard"
0,0,27,13,"standard"
0,0,8,16,"standard"
0,0,3,4,"standard"
0,0,123,123,"standard"
0,0,480,496,"standard"
0,0,198,205,"standard"
0,0,237,236,"standard"
0,0,24,23,"standard"
0,0,45,40,"standard"
0,0,9,3,"standard"
0,0,36,17,"standard"
0,0,6,20,"standard"
0,0,926,925,"standard"
0,0,85,86,"standard"
0,0,9,19,"standard"
0,0,83,57,"standard"
0,0,177,171,"standard"
0,0,479,482,"standard"
0,0,6,5,"standard"
0,0,22,23,"standard"
0,0,182,186,"standard"
0,0,521,498,"standard"
0,0,144,114,"standard"
0,0,5,6,"standard"
0,0,11,10,"standard"
0,0,432,433,"standard"
0,0,455,405,"standard"
0,0,79,88,"standard"
0,0,126,132,"standard"
0,0,7,11,"standard"
0,0,26,31,"standard"
0,0,133,250,"standard"
0,0,2,5,"standard"
0,0,35,25,"standard"
0,0,66,66,"standard"
305,228,1000,1000,"standard"
0,0,248,240,"standard"
0,0,8,10,"standard"
0,0,55,67,"standard"
0,0,33,39,"standard"
0,0,28,28,"standard"
0,0,47,22,"standard"
0,0,150,147,"standard"
0,0,21,34,"standard"
0,0,7,76,"standard"
0,0,8,16,"standard"
0,0,65,65,"standard"
0,0,452,449,"standard"
0,0,34,38,"standard"
0,0,17,3,"standard"
0,0,819,850,"standard"
0,0,547,549,"standard"
0,0,9,11,"standard"
0,0,26,22,"standard"
0,0,5,16,"standard"
0,0,300,297,"standard"
0,0,13,11,"standard"
0,0,147,156,"standard"
0,0,16,9,"standard"
0,0,387,386,"standard"
439,158,1000,1000,"standard"
0,0,9,8,"standard"
0,0,240,241,"standard"
0,0,671,674,"standard"
0,0,40,44,"standard"
0,0,17,2,"standard"
0,0,86,79,"standard"
0,0,164,165,"standard"
88,600,1000,1000,"standard"
0,0,15,3,"standard"
0,0,189,126,"standard"
0,0,461,461,"standard"
0,0,22,21,"standard"
0,0,72,77,"standard"
76,117,1000,1000,"standard"
0,0,10,10,"standard"
0,0,24,3,"standard"
0,0,3,53,"standard"
0,0,2,4,"standard"
0,0,925,800,"standard"
0,0,250,12,"standard"
0,0,6,3,"standard"
0,0,235,239,"standard"
0,0,40,42,"standard"
0,0,573,564,"standard"
0,0,2,426,"standard"
0,0,87,85,"standard"
0,0,2,4,"standard"
0,0,260,47,"standard"
0,0,5,340,"standard"
0,0,29,31,"standard"
0,0,5,6,"standard"
0,0,11,7,"standard"
0,0,91,85,"standard"
0,0,40,52,"standard"
0,0,18,5,"standard"
0,0,274,28,"standard"
287,544,1000,1000,"standard"
0,0,8,441,"standard"
0,0,4,4,"standard"
0,0,623,618,"standard"
0,0,2,14,"standard"
0,0,13,7,"standard"
0,0,147,130,"standard"
132,600,1000,1000,"standard"
0,0,2,3,"standard"
0,0,13,12,"standard"
0,0,8,21,"standard"
0,0,57,54,"standard"
0,0,9,14,"standard"
0,0,442,46,"standard"
0,0,9,10,"standard"
0,0,4,2,"standard"
0,0,38,28,"standard"
0,0,9,34,"standard"
0,0,9,2,"standard"
0,0,7,4,"standard"
0,0,795,793,"standard"
0,0,84,84,"standard"
0,0,367,370,"standard"
0,0,3,68,"standard"
0,0,3,15,"standard"
