"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,71,94,62,"standard"
156,327,0,1000,1000,21,"standard"
0,0,0,3,13,2,"standard"
0,0,0,5,11,5,"standard"
0,0,0,19,9,6,"standard"
0,0,0,693,43,688,"standard"
0,0,0,129,132,126,"standard"
0,0,0,61,16,13,"standard"
0,0,0,31,7,29,"standard"
0,0,0,636,694,929,"standard"
0,0,0,27,27,2,"standard"
0,0,0,7,11,8,"standard"
0,0,0,56,86,38,"standard"
0,0,0,85,42,158,"standard"
0,0,0,21,24,15,"standard"
184,355,67,1000,1000,1000,"standard"
0,0,0,53,4,54,"standard"
0,0,0,8,8,7,"standard"
0,0,0,7,16,16,"standard"
0,0,0,2,6,11,"standard"
0,0,0,6,7,2,"standard"
0,0,0,6,21,13,"standard"
0,0,0,12,363,13,"standard"
0,0,0,468,464,105,"standard"
0,0,0,67,12,94,"standard"
0,0,0,158,155,2,"standard"
0,0,0,471,548,545,"standard"
0,0,0,97,95,93,"standard"
0,0,0,9,4,25,"standard"
0,0,0,15,15,16,"standard"
0,0,0,52,43,44,"standard"
0,0,0,17,325,17,"standard"
0,0,0,5,751,753,"standard"
0,0,0,263,3,5,"standard"
0,0,0,52,3,11,"standard"
0,0,0,13,24,13,"standard"
0,0,0,18,44,44,"standard"
0,0,0,8,12,3,"standard"
0,0,0,6,600,641,"standard"
0,0,0,12,23,2,"standard"
0,0,0,204,227,239,"standard"
0,0,0,32,938,936,"standard"
0,0,0,144,410,413,"standard"
0,0,0,6,7,10,"standard"
0,0,0,259,342,342,"standard"
0,0,0,968,775,915,"standard"
0,0,0,4,8,8,"standard"
0,0,0,39,22,28,"standard"
0,64,297,258,1000,1000,"standard"
0,115,71,41,1000,1000,"standard"
0,0,0,15,12,2,"standard"
0,0,0,192,196,54,"standard"
0,0,0,15,14,2,"standard"
0,0,0,552,6,547,"standard"
0,0,0,21,23,21,"standard"
0,0,0,337,2,361,"standard"
0,0,0,76,75,15,"standard"
0,0,0,635,81,24,"standard"
0,0,0,3,4,13,"standard"
0,0,0,85,20,11,"standard"
0,0,0,460,459,455,"standard"
0,0,0,31,188,14,"standard"
0,0,0,53,24,47,"standard"
0,0,0,89,196,200,"standard"
0,0,0,3,3,2,"standard"
0,0,0,26,59,11,"standard"
0,0,0,5,37,37,"standard"
0,0,0,27,26,25,"standard"
0,0,0,48,49,48,"standard"
0,0,0,151,271,266,"standard"
0,0,0,24,24,25,"standard"
0,0,0,7,45,6,"standard"
0,0,0,4,3,20,"standard"
0,0,0,30,25,24,"standard"
0,0,0,7,6,5,"standard"
0,0,0,7,2,11,"standard"
0,0,0,567,571,559,"standard"
0,0,0,11,14,12,"standard"
0,0,0,4,2,7,"standard"
0,0,0,16,7,9,"standard"
0,0,0,223,203,215,"standard"
0,0,0,3,5,15,"standard"
0,0,0,7,9,3,"standard"
0,600,134,3,1000,1000,"standard"
0,0,0,56,78,56,"standard"
0,0,0,479,585,457,"standard"
0,0,0,4,47,4,"standard"
0,0,0,41,38,6,"standard"
0,0,0,316,409,411,"standard"
0,0,0,197,5,4,"standard"
0,0,0,319,348,370,"standard"
0,0,0,11,6,11,"standard"
0,0,0,992,992,703,"standard"
0,0,0,4,3,4,"standard"
0,0,0,5,37,44,"standard"
0,0,0,183,177,42,"standard"
0,0,0,217,213,142,"standard"
0,0,0,223,8,206,"standard"
0,0,0,120,728,11,"standard"
0,0,0,27,41,9,"standard"
0,0,0,4,643,641,"standard"
0,0,0,10,4,6,"standard"
0,0,0,75,69,69,"standard"
0,0,0,5,11,13,"standard"
0,0,0,10,2,11,"standard"
0,0,0,18,17,16,"standard"
0,301,80,3,1000,1000,"standard"
0,0,0,29,33,104,"standard"
0,0,0,102,6,9,"standard"
0,0,0,455,893,417,"standard"
0,0,0,56,55,42,"standard"
0,0,0,2,5,29,"standard"
0,0,0,6,11,3,"standard"
0,0,0,170,3,321,"standard"
0,0,0,43,145,165,"standard"
0,0,0,41,49,43,"standard"
0,0,0,757,616,757,"standard"
0,0,0,18,169,19,"standard"
0,346,103,748,1000,1000,"standard"
0,0,0,335,338,862,"standard"
0,0,0,33,9,6,"standard"
0,0,0,39,873,23,"standard"
108,600,0,1000,1000,42,"standard"
0,0,0,2,766,747,"standard"
0,0,0,49,2,49,"standard"
0,0,0,20,18,35,"standard"
0,0,0,74,9,9,"standard"
0,0,0,569,544,175,"standard"
0,0,0,56,247,251,"standard"
0,0,0,504,502,78,"standard"
0,0,0,31,66,13,"standard"
0,0,0,347,834,841,"standard"
0,0,0,14,5,28,"standard"
0,0,0,20,3,27,"standard"
0,0,0,608,602,38,"standard"
0,0,0,690,13,713,"standard"
0,0,0,27,6,25,"standard"
0,0,0,5,11,11,"standard"
0,0,0,247,235,247,"standard"
0,0,0,25,37,32,"standard"
0,0,0,2,446,2,"standard"
0,0,0,43,21,35,"standard"
0,232,103,5,1000,1000,"standard"
0,0,0,2,10,2,"standard"
0,0,0,10,18,2,"standard"
0,0,0,323,326,22,"standard"
0,0,0,76,7,72,"standard"
0,0,0,57,5,64,"standard"
0,0,0,23,225,229,"standard"
0,0,0,15,22,14,"standard"
0,0,0,52,64,58,"standard"
0,0,0,615,581,608,"standard"
218,282,0,1000,1000,3,"standard"
0,0,0,462,33,143,"standard"
213,170,397,1000,1000,1000,"standard"
0,0,0,36,32,41,"standard"
224,0,600,1000,58,1000,"standard"
0,0,0,82,3,102,"standard"
0,0,0,644,961,962,"standard"
0,0,0,59,5,59,"standard"
0,0,0,5,3,412,"standard"
0,0,0,3,43,80,"standard"
307,85,0,1000,1000,9,"standard"
0,0,0,4,481,4,"standard"
0,0,0,2,121,121,"standard"
0,0,0,57,603,505,"standard"
0,0,0,537,399,540,"standard"
0,0,0,4,17,23,"standard"
176,0,207,1000,798,1000,"standard"
0,0,0,41,38,3,"standard"
0,0,0,2,30,32,"standard"
0,0,0,2,65,49,"standard"
0,0,0,32,19,32,"standard"
0,0,0,3,13,279,"standard"
0,0,0,57,2,79,"standard"
